"Reference","Value","JLC Part Number","Footprint","Qty"
"U1","GD5F2GM7UEYIGR","C22412867 ","Package_SON:WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm","1"
"Y2","28.63636MHz","C7302014","PCM_Crystal_AKL:Crystal_SMD_3225-4Pin_3.2x2.5mm","1"
"R6","24?K","C2909331","Resistor_SMD:R_0402_1005Metric","1"
"R11,R12,R13,R14","pullup","C881131","Resistor_SMD:R_0402_1005Metric","4"
"R7","51?K","C881131","Resistor_SMD:R_0402_1005Metric","1"
"R5,R9,R18,R19","pulldown","C881131","Resistor_SMD:R_0402_1005Metric","4"
"U2,U3","VRD1833MLX","C697928","LLP-6:LLP-6","2"
"U4","ADV7182AWBCPZ-RL","C662245","Package_CSP:LFCSP-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias","1"
"C8,C9","13p","C597181","Capacitor_SMD:C_0402_1005Metric","2"
"J1,J2","jst 0.8","C265338 ","Connector_JST:JST_SUR_SM03B-SURS-TF_1x03-1MP_P0.80mm_Horizontal","2"
"J3","SH1.0","C160404","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","1"
"C10,C13,C14,C15,C16,C17,C18,C22","Lbulk","C23733","Capacitor_SMD:C_0402_1005Metric","8"
"R3,R4,R8,R16,R17","0","C17168","Resistor_SMD:R_0402_1005Metric","5"
"C6,C7,C12,C19,C20,C21","Sbulk","C15195","Capacitor_SMD:C_0402_1005Metric","6"
"R1","1k","C11702","Resistor_SMD:R_0402_1005Metric","1"
"C5,C11","Mbulk","C1525 ","Capacitor_SMD:C_0402_1005Metric","2"
"C1,C2","100n","C1525 ","Capacitor_SMD:C_0402_1005Metric","2"
"TP3,TP5,TP7,TP8,TP9,TP10,TP11,TP12","TestPoint","","TestPoint:TestPoint_Pad_D1.0mm","8"
"J4,J5","Conn_01x16","","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","2"
