Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,100n,
"C10, C13, C14, C15, C16, C17, C18, C22",0402,8,Lbulk,
"C11, C5",0402,2,Mbulk,
"C12, C19, C20, C21, C6, C7",0402,6,Sbulk,
"C8, C9",0402,2,13p,
"J1, J2",JST_SUR_SM03B-SURS-TF_1x03-1MP_P0.80mm_Horizontal,2,jst 0.8,
J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SH1.0,
R1,0402,1,1k,
"R11, R12, R13, R14",0402,4,pullup,
"R18, R19, R5, R9",0402,4,pulldown,
"R4, R8",0402,2,0,
R6,0402,1,24?K,
R7,0402,1,51?K,
"TP10, TP11, TP12, TP3, TP5, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,8,TestPoint,
U1,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,1,GD5F2GM7UEYIGR,
"U2, U3",LLP-6,2,VRD1833MLX,
U4,LFCSP-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias,1,ADV7182AWBCPZ-RL,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,28.63636MHz,
