Designator,Mid X,Mid Y,Rotation,Layer
C1,43.425,2.855,90.0,top
C10,44.301181,-7.225,270.0,top
C11,43.4,21.5,270.0,top
C12,53.7,26.1,270.0,top
C13,50.8,-5.9,0.0,top
C14,58.5975,-3.425,90.0,top
C15,50.65,-1.3,90.0,top
C16,49.45,-1.3,90.0,top
C17,57.3975,-1.125,90.0,top
C18,56.1975,-1.125,90.0,top
C19,47.175,11.715,90.0,top
C2,45.8,2.85,90.0,top
C20,42.475,7.125,180.0,top
C21,42.925,4.425,180.0,top
C22,49.55,11.75,90.0,top
C5,48.2,2.85,270.0,top
C6,47.0,2.88,270.0,top
C7,48.325,11.745,90.0,top
C8,39.375,1.275,0.0,top
C9,40.275,7.025,180.0,top
J1,47.551181,-9.9,0.0,top
J2,41.051181,-9.9,0.0,top
J3,54.751181,-8.625,0.0,top
JP1,47.85,-3.7,0.0,bottom
JP2,54.25,-1.6,90.0,bottom
R1,38.725,7.525,90.0,top
R11,53.71,8.3,0.0,top
R12,53.71,6.9,180.0,top
R13,48.5,27.8,0.0,top
R14,49.0,-5.9,270.0,top
R18,38.9,-0.7,90.0,top
R19,54.1,11.1,0.0,top
R4,48.25,-1.3,90.0,top
R5,51.1,5.8,270.0,top
R6,43.425,0.755,90.0,top
R7,44.6,2.85,270.0,top
R8,49.9,3.3,180.0,top
R9,52.1,-3.7,270.0,top
TP10,53.65,3.2,270.0,top
TP11,48.8175,-0.175,90.0,bottom
TP12,43.5,6.9,90.0,bottom
TP3,53.7,6.05,270.0,bottom
TP5,48.9,1.85,0.0,bottom
TP7,40.251181,-6.375,270.0,top
TP8,49.4,-8.8,270.0,bottom
TP9,42.45,18.05,0.0,bottom
U1,48.5,23.8,0.0,top
U2,50.3,-3.7,0.0,top
U3,56.7975,-3.525,0.0,top
U4,46.75,7.15,270.0,top
Y2,39.375,4.125,90.0,top
